image,variant,psnr,mse,entropy_cover,entropy_stego,entropy_diff,lsb_entropy_cover,lsb_entropy_stego,lsb_entropy_diff,lsb_block_entropy_cover_mean,lsb_block_entropy_stego_mean,lsb_block_entropy_diff,chi_square_cover,chi_square_stego,chi_square_diff,histogram_diff,modified_bits,modified_bits_percent,modified_pixels,modified_pixels_percent
airplane,lsb1,70.92266023650669,0.005257924397786458,6.663908051897585,6.664017978253506,0.00010992635592099731,0.9999487928988025,0.999938997849399,-9.795049403460432e-06,0.9998557945789812,0.9998468199558822,-8.974623099011758e-06,3577.567980083855,3483.7605898990905,-93.8073901847647,0.0021540323893229165,4135,0.06572405497233072,4135,0.5257924397786458
airplane,lsb4,57.61965146497008,0.11249033610026042,6.663908051897585,6.6643356467590245,0.0004275948614393954,0.9999487928988025,0.9999395700912586,-9.222807543896039e-06,0.9998557945789812,0.9998470854138206,-8.70916516060305e-06,3577.567980083855,3549.4758214047124,-28.092158679142813,0.00304412841796875,4101,0.06518363952636719,1949,0.24782816569010416
airplane,lsbi,57.16081999408281,0.12502543131510416,6.663908051897585,6.6639345070232805,2.6455125695434845e-05,0.9999487928988025,0.9999598661951649,1.107329636240717e-05,0.9998557945789812,0.9998547584622816,-1.0361166996597504e-06,3577.567980083855,3540.184354855799,-37.38362522805619,0.0019098917643229167,4193,0.06664594014485678,4174,0.5307515462239583
baboon,lsb1,70.505893568419,0.0057875,6.950279500803191,6.95763268339171,0.007353182588518692,0.9992177458166955,0.999270549016718,5.2803200022433217e-05,0.9967681879462351,0.9967681879462351,0.0,145821.61984330384,141102.353835028,-4719.266008275823,0.007163888888888889,4167,0.07234375,4167,0.57875
baboon,lsb4,59.640706588767785,0.07063333333333334,6.950279500803191,6.961341641406885,0.011062140603693926,0.9992177458166955,0.999171676598912,-4.6069217783495375e-05,0.9967681879462351,0.9967681879462351,0.0,145821.61984330384,143912.65490998354,-1908.9649333202979,0.004141666666666667,3140,0.05451388888888888,1692,0.23500000000000001
baboon,lsbi,57.59687093291034,0.11308194444444444,6.950279500803191,6.95793796839987,0.007658467596678875,0.9992177458166955,0.9991807527972123,-3.6993019483233525e-05,0.9967681879462351,0.9967681879462351,0.0,145821.61984330384,140954.2429457479,-4867.376897555951,0.006769444444444444,4155,0.07213541666666667,4139,0.5748611111111112
lenna,lsb1,70.94688431552015,0.005228678385416667,5.68222474874237,5.7285476071937875,0.04632285845141748,0.9937274078144787,0.9936985727470793,-2.8835067399368697e-05,0.9389777769453498,0.9393731408989214,0.000395363953571648,786432.0,770087.9099807127,-16344.090019287309,0.010457356770833334,4112,0.06535847981770834,4112,0.5228678385416667
lenna,lsb4,58.49855600802448,0.09188079833984375,5.68222474874237,5.705332949229836,0.023108200487466313,0.9937274078144787,0.9936455359566274,-8.187185785124562e-05,0.9389777769453498,0.9389921564643533,1.437951900351564e-05,786432.0,784081.4420491289,-2350.5579508710653,0.00429534912109375,4493,0.07141431172688803,1980,0.25177001953125
lenna,lsbi,65.94531009289241,0.01654052734375,5.68222474874237,5.729148952435401,0.046924203693031075,0.9937274078144787,0.9939314413185243,0.00020403350404563092,0.9389777769453498,0.9396345196597047,0.0006567427143548965,786432.0,769850.4293213544,-16581.57067864563,0.010609944661458334,4187,0.06655057271321616,4176,0.531005859375
pepper,lsb1,70.86942313536566,0.005322774251302083,7.669825514176317,7.669869454912786,4.394073646896146e-05,0.9986910005295664,0.9986573244974084,-3.3676032157980984e-05,0.9967088264282935,0.9966539567301131,-5.4869698180359805e-05,26573.780338202298,26534.478486327924,-39.301851874373824,0.0013783772786458333,4186,0.06653467814127603,4186,0.5322774251302083
pepper,lsb4,58.0228796999124,0.10251617431640625,7.669825514176317,7.669991910382224,0.0001663962059073043,0.9986910005295664,0.998651617304823,-3.938322474339451e-05,0.9967088264282935,0.996641241526186,-6.758490210745371e-05,26573.780338202298,26563.89584578511,-9.884492417186266,0.0025227864583333335,4190,0.06659825642903647,1954,0.24846394856770834
pepper,lsbi,60.33118983427719,0.06025060017903646,7.669825514176317,7.669918252595765,9.273841944779093e-05,0.9986910005295664,0.9987633074248121,7.230689524573286e-05,0.9967088264282935,0.9968308694579018,0.0001220430296082764,26573.780338202298,26496.655921237063,-77.12441696523456,0.0016326904296875,4169,0.06626447041829428,4160,0.5289713541666667
